"indicator_value__|","indicator_value__|__44206__1990","indicator_value__|__44206__1995","indicator_value__|__44206__2000","indicator_value__|__44206__2005","indicator_value__|__44206__2010","indicator_value__|__44206__2011","indicator_value__|__44206__2012","indicator_value__|__44206__2013","indicator_value__|__44206__2014","indicator_value__|__44206__2015","indicator_value__|__44206__2016","indicator_value__|__44206__2017","indicator_value__|__44206__2018","indicator_value__|__44206__2019","indicator_value__|__44206__2030","country_name__AFG","country_name__AGO","country_name__ALB","country_name__AND","country_name__ARE","country_name__ARG","country_name__ARM","country_name__ATG","country_name__AUS","country_name__AUT","country_name__AZE","country_name__BDI","country_name__BEL","country_name__BEN","country_name__BFA","country_name__BGD","country_name__BGR","country_name__BHR","country_name__BHS","country_name__BIH","country_name__BLR","country_name__BLZ","country_name__BOL","country_name__BRA","country_name__BRB","country_name__BRN","country_name__BTN","country_name__BWA","country_name__CAF","country_name__CAN","country_name__CHE","country_name__CHL","country_name__CHN","country_name__CIV","country_name__CMR","country_name__COD","country_name__COG","country_name__COL","country_name__COM","country_name__CPV","country_name__CRI","country_name__CUB","country_name__CYP","country_name__CZE","country_name__DEU","country_name__DJI","country_name__DMA","country_name__DNK","country_name__DOM","country_name__DZA","country_name__ECU","country_name__EGY","country_name__ERI","country_name__ESP","country_name__EST","country_name__ETH","country_name__FIN","country_name__FJI","country_name__FRA","country_name__FSM","country_name__GAB","country_name__GBR","country_name__GEO","country_name__GHA","country_name__GIN","country_name__GMB","country_name__GNB","country_name__GNQ","country_name__GRC","country_name__GRD","country_name__GTM","country_name__GUY","country_name__HKG","country_name__HND","country_name__HRV","country_name__HTI","country_name__HUN","country_name__IDN","country_name__IND","country_name__IRL","country_name__IRN","country_name__IRQ","country_name__ISL","country_name__ISR","country_name__ITA","country_name__JAM","country_name__JOR","country_name__JPN","country_name__KAZ","country_name__KEN","country_name__KGZ","country_name__KHM","country_name__KIR","country_name__KNA","country_name__KOR","country_name__KWT","country_name__LAO","country_name__LBN","country_name__LBR","country_name__LBY","country_name__LCA","country_name__LIE","country_name__LKA","country_name__LSO","country_name__LTU","country_name__LUX","country_name__LVA","country_name__MAR","country_name__MCO","country_name__MDA","country_name__MDG","country_name__MDV","country_name__MEX","country_name__MHL","country_name__MKD","country_name__MLI","country_name__MLT","country_name__MMR","country_name__MNE","country_name__MNG","country_name__MOZ","country_name__MRT","country_name__MUS","country_name__MWI","country_name__MYS","country_name__NAM","country_name__NER","country_name__NGA","country_name__NIC","country_name__NLD","country_name__NOR","country_name__NPL","country_name__NRU","country_name__NZL","country_name__OMN","country_name__PAK","country_name__PAN","country_name__PER","country_name__PHL","country_name__PLW","country_name__PNG","country_name__POL","country_name__PRK","country_name__PRT","country_name__PRY","country_name__PSE","country_name__QAT","country_name__ROU","country_name__RUS","country_name__RWA","country_name__SAU","country_name__SDN","country_name__SEN","country_name__SGP","country_name__SLB","country_name__SLE","country_name__SLV","country_name__SMR","country_name__SOM","country_name__SRB","country_name__SSD","country_name__STP","country_name__SUR","country_name__SVK","country_name__SVN","country_name__SWE","country_name__SWZ","country_name__SYC","country_name__SYR","country_name__TCD","country_name__TGO","country_name__THA","country_name__TJK","country_name__TKM","country_name__TLS","country_name__TON","country_name__TTO","country_name__TUN","country_name__TUR","country_name__TUV","country_name__TZA","country_name__UGA","country_name__UKR","country_name__URY","country_name__USA","country_name__UZB","country_name__VCT","country_name__VEN","country_name__VNM","country_name__VUT","country_name__WSM","country_name__YEM","country_name__ZAF","country_name__ZMB","country_name__ZWE","indicator_name__44206"
"MEX","83.943","91.663","98.9","106.005","114.093","115.695","117.274","118.827","120.355","121.858","123.333","124.777","126.191","127.576","140.876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHL","0.047","0.05","0.051","0.055","0.056","0.057","0.057","0.057","0.057","0.057","0.058","0.058","0.058","0.059","0.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKD","1.996","1.983","2.035","2.06","2.071","2.072","2.074","2.076","2.078","2.079","2.081","2.082","2.083","2.083","2.051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLI","8.45","9.586","10.946","12.776","15.049","15.515","15.979","16.45","16.934","17.439","17.965","18.512","19.078","19.658","26.957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLT","0.362","0.377","0.394","0.405","0.414","0.418","0.422","0.426","0.43","0.434","0.436","0.438","0.439","0.44","0.449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMR","41.335","43.902","46.72","48.95","50.601","50.991","51.414","51.852","52.281","52.681","53.045","53.383","53.708","54.045","58.478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNE","0.615","0.62","0.614","0.616","0.624","0.625","0.626","0.626","0.627","0.627","0.627","0.628","0.628","0.628","0.624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNG","2.184","2.298","2.397","2.526","2.72","2.77","2.825","2.882","2.94","2.998","3.056","3.114","3.17","3.225","3.716","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOZ","12.987","15.483","17.712","20.494","23.532","24.188","24.863","25.561","26.286","27.042","27.83","28.649","29.496","30.366","41.185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRT","2.034","2.314","2.63","3.024","3.494","3.599","3.707","3.817","3.931","4.046","4.164","4.283","4.403","4.526","5.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUS","1.056","1.129","1.185","1.222","1.248","1.251","1.253","1.255","1.257","1.259","1.262","1.264","1.267","1.27","1.274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MWI","9.404","9.844","11.149","12.626","14.54","14.962","15.396","15.839","16.29","16.745","17.205","17.67","18.143","18.629","24.849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYS","18.03","20.488","23.194","25.691","28.208","28.651","29.068","29.469","29.867","30.271","30.685","31.105","31.528","31.95","36.095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAM","1.433","1.628","1.795","1.938","2.119","2.157","2.195","2.234","2.273","2.315","2.358","2.403","2.448","2.495","3.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NER","8.027","9.49","11.332","13.624","16.464","17.115","17.795","18.504","19.24","20.002","20.789","21.602","22.443","23.311","34.846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGA","95.212","107.948","122.284","138.865","158.503","162.805","167.229","171.766","176.405","181.137","185.96","190.873","195.875","200.964","262.977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIC","4.173","4.652","5.069","5.439","5.824","5.903","5.983","6.062","6.143","6.223","6.304","6.385","6.466","6.546","7.392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLD","14.965","15.468","15.926","16.367","16.683","16.738","16.792","16.844","16.893","16.938","16.981","17.021","17.06","17.097","17.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NOR","4.247","4.367","4.499","4.632","4.886","4.948","5.014","5.079","5.142","5.2","5.251","5.296","5.338","5.379","5.876","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPL","18.905","21.576","23.941","25.745","27.013","27.041","26.989","26.917","26.906","27.015","27.263","27.633","28.096","28.609","33.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRU","0.01","0.011","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.011","0.011","0.011","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZL","3.398","3.675","3.859","4.135","4.37","4.419","4.468","4.519","4.568","4.615","4.659","4.702","4.743","4.783","5.173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OMN","1.812","2.204","2.268","2.511","3.041","3.251","3.498","3.765","4.027","4.267","4.479","4.666","4.829","4.975","5.936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAK","107.648","123.777","142.344","160.304","179.425","183.34","187.28","191.261","195.305","199.427","203.631","207.906","212.228","216.565","262.959","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAN","2.471","2.74","3.03","3.33","3.643","3.706","3.771","3.835","3.901","3.968","4.037","4.107","4.177","4.246","4.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PER","22.071","24.299","26.46","27.866","29.028","29.264","29.507","29.774","30.09","30.471","30.926","31.444","31.989","32.51","36.031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHL","61.895","69.784","77.992","86.326","93.967","95.57","97.213","98.872","100.513","102.113","103.664","105.173","106.651","108.117","123.698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLW","0.015","0.017","0.019","0.02","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNG","4.616","5.187","5.848","6.495","7.311","7.472","7.631","7.788","7.947","8.108","8.272","8.438","8.606","8.776","10.709","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POL","37.96","38.459","38.557","38.369","38.33","38.287","38.227","38.158","38.091","38.034","37.989","37.953","37.922","37.888","36.945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRK","20.293","21.862","22.929","23.904","24.549","24.673","24.801","24.93","25.058","25.184","25.308","25.43","25.55","25.666","26.651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRT","9.895","10.091","10.297","10.508","10.596","10.569","10.526","10.473","10.418","10.368","10.326","10.289","10.256","10.226","9.913","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRY","4.223","4.777","5.323","5.824","6.248","6.334","6.422","6.51","6.6","6.689","6.778","6.867","6.956","7.045","7.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSE","2.101","2.619","3.224","3.578","4.056","4.15","4.242","4.334","4.429","4.529","4.636","4.747","4.863","4.981","6.342","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAT","0.476","0.513","0.592","0.865","1.856","2.036","2.196","2.337","2.459","2.566","2.654","2.725","2.782","2.832","3.327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ROU","23.489","22.965","22.137","21.417","20.472","20.337","20.227","20.133","20.036","19.925","19.796","19.654","19.506","19.365","18.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUS","147.532","148.227","146.405","143.672","143.479","143.703","143.994","144.325","144.665","144.985","145.275","145.53","145.734","145.872","143.348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWA","7.289","5.836","7.934","8.84","10.039","10.293","10.55","10.812","11.084","11.369","11.669","11.981","12.302","12.627","16.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAU","16.234","18.639","20.664","23.816","27.421","28.268","29.155","30.052","30.917","31.718","32.443","33.101","33.703","34.269","39.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDN","20.148","24.095","27.275","30.95","34.545","35.35","36.194","37.073","37.978","38.903","39.847","40.813","41.802","42.813","55.254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEN","7.526","8.69","9.798","11.09","12.678","13.034","13.402","13.782","14.175","14.578","14.994","15.419","15.854","16.296","21.551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGP","3.013","3.526","4.029","4.266","5.131","5.264","5.369","5.454","5.526","5.592","5.654","5.708","5.758","5.804","6.262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLB","0.312","0.359","0.413","0.47","0.528","0.542","0.556","0.571","0.587","0.603","0.619","0.636","0.653","0.67","0.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLE","4.32","4.304","4.585","5.646","6.416","6.563","6.713","6.864","7.017","7.172","7.329","7.488","7.65","7.813","9.649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLV","5.27","5.629","5.888","6.052","6.184","6.211","6.238","6.266","6.295","6.325","6.356","6.388","6.421","6.454","6.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMR","0.024","0.026","0.027","0.029","0.031","0.032","0.032","0.033","0.033","0.033","0.034","0.034","0.034","0.034","0.034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
