indicator_value__|,1990,indicator_value__|__140606__1991,1992,1993,1994,indicator_value__|__140606__1995,1996,1997,1998,1999,indicator_value__|__140606__2000,2001,2002,2003,2004,indicator_value__|__140606__2005,2006,2007,2008,2009,indicator_value__|__140606__2010,indicator_value__|__140606__2011,indicator_value__|__140606__2012,indicator_value__|__140606__2013,indicator_value__|__140606__2014,indicator_value__|__140606__2015,indicator_value__|__140606__2016,indicator_value__|__140606__2017,indicator_value__|__140606__2018,indicator_value__|__140606__2019
BEN,,1.481,,,,1.267,,,,,0.83,,,,,0.791,,,,,1.04,2.646,2.66,2.677,2.621,2.582,2.537,2.459,2.386,2.232
BFA,,2.484,,,,2.547,,,,,2.57,,,,,4,,,,,4.717,5.143,5.601,6.087,6.479,6.418,6.344,6.216,6.094,6.264
BGD,,2.2,,,,2.458,,,,,3.27,,,,,4.25,,,,,3.379,3.705,4.055,4.426,4.395,4.378,4.35,4.372,4.281,4.19
BGR,,13.391,,,,13.694,,,,,16.218,,,,,10.083,,,,,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.34
BHR,,1.051,,,,1.427,,,,,1.466,,,,,0.998,,,,,1.13,1.274,1.2,1.323,1.17,1.13,0.919,0.701,0.65,0.714
BHS,,12.17,,,,10.83,,,,,6.962,,,,,10.2,,,,,14.836,14.52,14.02,16.18,13.8,12,12.7,9.8,10,10.36
BIH,,17.55,,,,21.096,,,,,25.655,,,,,30.447,,,,,27.312,27.582,28.01,27.45,27.517,27.694,25.408,20.527,18.4,18.425
BLR,,0.6,,,,17.7,,,,,12.001,,,,,8.46,,,,,6.126,6.098,6.078,6.063,5.981,5.914,5.84,5.65,4.76,4.595
BLZ,,9.585,,,,12.48,,,,,10.86,,,,,10.91,,,,,8.48,8.426,8.385,8.349,8.244,7.578,7,6.595,6.512,6.413
BOL,,2.735,,,,2.875,,,,,2.893,,,,,2.841,,,,,2.552,2.219,2.048,2.394,2.007,3.066,3.525,3.67,3.534,3.498
BRA,,6.372,,,,6.421,,,,,9.895,,,,,9.568,,,,,7.736,6.917,7.186,6.976,6.661,8.427,11.6,12.822,12.334,12.083
BRB,,21.004,,,,19.66,,,,,9.35,,,,,9.08,,,,,10.69,11.19,11.59,11.55,12.17,11.35,9.72,9.761,9.385,10.331
BRN,,4.7,,,,5.704,,,,,5.653,,,,,5.663,,,,,6.743,6.694,6.905,7.126,6.965,7.914,8.711,9.316,8.862,9.117
BTN,,1.337,,,,1.4,,,,,1.637,,,,,3.1,,,,,3.32,3.23,2.05,2.87,2.63,2.45,2.416,2.358,2.303,2.342
BWA,,13.82,,,,21.379,,,,,15.88,,,,,19.8,,,,,17.86,17.865,17.889,17.921,17.819,17.747,17.659,17.505,17.353,18.193
CAF,,3.774,,,,3.932,,,,,3.953,,,,,3.896,,,,,3.927,3.929,3.94,3.956,3.902,3.864,3.819,3.74,3.664,3.68
CAN,,10.316,,,,9.489,,,,,6.829,,,,,6.758,,,,,8.056,7.511,7.292,7.074,6.914,6.906,6.999,6.34,5.831,5.564
CHE,,1.777,,,,3.327,,,,,2.666,,,,,4.437,,,,,4.807,4.408,4.485,4.747,4.826,4.801,4.918,4.797,4.713,4.581
CHL,,5.23,,,,4.7,,,,,10.491,,,,,9.34,,,,,8.424,7.344,6.659,6.214,6.665,6.508,6.738,6.958,7.233,7.09
CHN,,2.371,,,,3.004,,,,,3.261,,,,,4.515,,,,,4.526,4.548,4.57,4.59,4.609,4.629,4.535,4.441,4.276,4.32
CIV,,6.631,,,,4.1,,,,,4.515,,,,,5.506,,,,,6.705,6.954,7.223,4.254,3.647,3.102,2.599,3.273,3.21,3.317
CMR,,7.778,,,,8.037,,,,,7.585,,,,,4.4,,,,,4.11,3.969,3.837,3.711,3.534,3.506,3.472,3.414,3.357,3.38
COD,,2.755,,,,2.868,,,,,2.886,,,,,2.849,,,,,3.977,4.222,4.485,4.503,4.445,4.406,4.357,4.273,4.193,4.236
COG,,19.474,,,,19.856,,,,,19.919,,,,,19.796,,,,,13.972,11.897,10,10.02,9.956,9.912,9.858,9.763,9.67,9.472
COL,,10.12,,,,8.72,,,,,20.52,,,,,11.87,,,,,10.984,10.111,9.74,9.052,8.572,8.299,8.692,8.872,9.111,9.707
COM,,4.38,,,,4.537,,,,,4.563,,,,,4.513,,,,,4.548,4.551,4.563,4.579,4.528,4.493,4.45,4.375,4.302,4.336
CPV,,10.426,,,,10.652,,,,,10.691,,,,,10.619,,,,,10.67,10.935,11.218,11.511,11.698,11.909,12.106,12.24,12.17,12.249
CRI,,5.373,,,,5.176,,,,,5.082,,,,,6.571,,,,,7.171,10.139,9.784,8.768,9.059,8.999,8.598,8.142,9.632,11.854
CUB,,7.944,,,,8.27,,,,,5.45,,,,,1.95,,,,,2.5,3.18,3.46,3.29,2.7,2.4,2,1.7,1.7,1.638
CYP,,2.082,,,,3.781,,,,,4.967,,,,,5.304,,,,,6.263,7.856,11.795,15.871,16.088,14.908,12.95,11.052,8.37,7.274
CZE,,2.27,,,,4.024,,,,,8.762,,,,,7.927,,,,,7.279,6.711,6.978,6.953,6.108,5.046,3.951,2.89,2.243,1.933
DEU,,5.317,,,,8.158,,,,,7.917,,,,,11.167,,,,,6.966,5.824,5.379,5.231,4.981,4.624,4.122,3.746,3.384,3.043
