indicator_value__|,indicator_value__|__69206__1990,indicator_value__|__69206__1991,indicator_value__|__69206__1992,indicator_value__|__69206__1993,indicator_value__|__69206__1994,indicator_value__|__69206__1995,indicator_value__|__69206__1996,indicator_value__|__69206__1997,indicator_value__|__69206__1998,indicator_value__|__69206__1999,indicator_value__|__69206__2000,indicator_value__|__69206__2001,indicator_value__|__69206__2002,indicator_value__|__69206__2003,indicator_value__|__69206__2004,indicator_value__|__69206__2005,indicator_value__|__69206__2006,indicator_value__|__69206__2007,indicator_value__|__69206__2008,indicator_value__|__69206__2009,indicator_value__|__69206__2010,indicator_value__|__69206__2011,indicator_value__|__69206__2012,indicator_value__|__69206__2013,indicator_value__|__69206__2014,indicator_value__|__69206__2015,indicator_value__|__69206__2016,indicator_value__|__69206__2017,indicator_value__|__69206__2018,indicator_value__|__69206__2019
HND,66.723,67.175,67.605,68.028,68.45,68.871,69.284,69.676,70.041,70.378,70.689,70.976,71.249,71.511,71.77,72.026,72.285,72.544,72.803,73.061,73.317,73.569,73.814,74.051,74.278,74.495,74.701,74.898,75.088,75.27
HRV,72.315,72.533,72.784,73.074,73.395,73.727,74.041,74.312,74.526,74.683,74.794,74.881,74.972,75.091,75.247,75.447,75.688,75.956,76.236,76.52,76.797,77.059,77.301,77.521,77.717,77.892,78.049,78.197,78.342,78.49
HTI,54.265,54.58,54.894,55.209,55.523,55.829,56.121,56.393,56.648,56.891,57.131,57.382,57.655,57.959,58.292,58.652,59.028,59.408,59.782,60.148,60.511,60.879,61.26,61.658,62.069,62.485,62.896,63.29,63.66,64
HUN,69.328,69.358,69.433,69.567,69.763,70.02,70.328,70.669,71.023,71.378,71.721,72.044,72.347,72.63,72.896,73.149,73.397,73.651,73.916,74.195,74.488,74.795,75.107,75.418,75.72,76.006,76.266,76.498,76.701,76.88
IDN,62.32,62.727,63.131,63.529,63.919,64.291,64.637,64.954,65.244,65.513,65.772,66.037,66.321,66.631,66.969,67.334,67.717,68.105,68.485,68.853,69.205,69.542,69.866,70.179,70.481,70.768,71.035,71.282,71.509,71.72
IND,57.865,58.353,58.851,59.349,59.84,60.32,60.783,61.233,61.669,62.093,62.505,62.907,63.304,63.699,64.095,64.5,64.918,65.35,65.794,66.244,66.693,67.13,67.545,67.931,68.286,68.607,68.897,69.165,69.416,69.66
IRL,74.809,75.013,75.194,75.354,75.499,75.642,75.803,75.997,76.235,76.52,76.852,77.227,77.627,78.035,78.439,78.822,79.168,79.475,79.743,79.975,80.182,80.382,80.593,80.823,81.076,81.344,81.615,81.872,82.103,82.31
IRN,63.837,65.153,66.243,67.137,67.84,68.377,68.791,69.139,69.471,69.813,70.176,70.553,70.921,71.265,71.592,71.917,72.257,72.626,73.027,73.457,73.905,74.352,74.776,75.162,75.502,75.796,76.047,76.271,76.479,76.68
IRQ,66.011,66.653,67.191,67.668,68.089,68.446,68.731,68.936,69.06,69.108,69.082,68.983,68.827,68.636,68.437,68.266,68.157,68.13,68.19,68.34,68.567,68.848,69.148,69.437,69.7,69.929,70.122,70.294,70.454,70.6
ISL,78.078,78.245,78.392,78.522,78.64,78.762,78.907,79.091,79.319,79.587,79.882,80.183,80.466,80.716,80.927,81.099,81.244,81.377,81.512,81.654,81.801,81.951,82.095,82.231,82.359,82.481,82.601,82.725,82.855,82.99
ISR,76.582,76.831,77.072,77.305,77.533,77.758,77.981,78.206,78.435,78.671,78.916,79.173,79.44,79.714,79.992,80.269,80.538,80.794,81.035,81.258,81.463,81.653,81.833,82.006,82.175,82.34,82.503,82.663,82.819,82.97
ITA,76.942,77.162,77.383,77.612,77.852,78.107,78.378,78.662,78.955,79.253,79.554,79.852,80.145,80.428,80.698,80.951,81.185,81.4,81.598,81.783,81.958,82.128,82.298,82.471,82.648,82.828,83.008,83.184,83.352,83.51
JAM,73.204,73.485,73.727,73.918,74.053,74.133,74.167,74.172,74.164,74.152,74.142,74.139,74.14,74.142,74.146,74.148,74.143,74.129,74.103,74.071,74.038,74.012,74.001,74.01,74.042,74.098,74.175,74.267,74.368,74.48
JOR,69.872,70.113,70.331,70.529,70.712,70.885,71.053,71.219,71.386,71.556,71.73,71.907,72.083,72.256,72.427,72.595,72.763,72.931,73.099,73.266,73.428,73.581,73.722,73.851,73.969,74.078,74.184,74.292,74.405,74.53
JPN,79.004,79.18,79.355,79.536,79.727,79.935,80.162,80.404,80.656,80.914,81.171,81.422,81.661,81.883,82.087,82.27,82.431,82.575,82.709,82.838,82.971,83.118,83.283,83.467,83.668,83.879,84.09,84.29,84.47,84.63
